시간,로봇,로봇 상태,목적지 이동 명령 상태
2026-08-20 07:19:22,robot_ec2b,CHARGING,UNKNOWN
2026-08-20 07:19:22,robot_ec2b,ERROR,UNKNOWN
2026-08-20 07:19:31,robot_ec2b,CHARGING,UNKNOWN
