시간,로봇,로봇 상태,목적지 이동 명령 상태
2026-08-21 10:38:28,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:38:21,robot_ec2b,ERROR,UNKNOWN
2026-08-21 10:36:53,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:36:51,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 10:32:56,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:32:49,robot_ec2b,ERROR,UNKNOWN
2026-08-21 10:27:33,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:27:33,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 10:27:32,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:27:31,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 10:23:51,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:23:43,robot_ec2b,ERROR,UNKNOWN
2026-08-21 10:22:14,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:22:11,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 10:22:08,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:22:06,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 10:22:02,robot_ec2b,CHARGING,UNKNOWN
2026-08-21 10:21:58,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:21:54,robot_ec2b,CHARGING,UNKNOWN
2026-08-21 10:21:52,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:21:49,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 10:21:24,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:21:23,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 10:21:15,robot_ec2b,LOCKED,UNKNOWN
2026-08-21 10:20:36,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 10:20:28,robot_ec2b,ERROR,UNKNOWN
2026-08-21 10:11:25,robot_ec2b,STANDBY,CANCELED
2026-08-21 10:10:24,robot_ec2b,LOCKED,CANCELED
2026-08-21 10:08:10,robot_ec2b,STANDBY,CANCELED
2026-08-21 10:08:04,robot_ec2b,LOCKED,CANCELED
2026-08-21 09:55:03,robot_ec2b,STANDBY,CANCELED
2026-08-21 09:55:01,robot_ec2b,MANUAL,CANCELED
2026-08-21 09:54:23,robot_ec2b,STANDBY,CANCELED
2026-08-21 09:54:15,robot_ec2b,LOCKED,CANCELED
2026-08-21 09:54:14,robot_ec2b,MOVING,CANCELED
2026-08-21 09:54:10,robot_ec2b,MOVING,ACTIVE
2026-08-21 09:54:09,robot_ec2b,STANDBY,ACTIVE
2026-08-21 09:54:09,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 09:54:01,robot_ec2b,LOCKED,UNKNOWN
2026-08-21 09:53:03,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 09:51:50,robot_ec2b,LOCKED,UNKNOWN
2026-08-21 09:50:18,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 09:49:17,robot_ec2b,LOCKED,UNKNOWN
2026-08-21 09:48:53,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 09:48:51,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 09:48:50,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 07:38:53,robot_ec2b,CHARGING,UNKNOWN
2026-08-21 07:38:46,robot_ec2b,ERROR,UNKNOWN
2026-08-21 07:38:45,robot_ec2b,CHARGING,UNKNOWN
2026-08-21 11:03:20,robot_ec2b,ERROR,UNKNOWN
2026-08-21 11:03:27,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 11:04:32,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 11:04:35,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 11:04:38,robot_ec2b,CHARGING,UNKNOWN
2026-08-21 11:04:43,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 11:04:44,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 11:04:45,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 11:04:46,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 11:04:47,robot_ec2b,CHARGING,UNKNOWN
2026-08-21 11:04:51,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 11:04:52,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 11:05:01,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 11:05:05,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 11:05:07,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 13:07:28,robot_ec2b,MANUAL,UNKNOWN
2026-08-21 13:07:34,robot_ec2b,STANDBY,UNKNOWN
2026-08-21 13:13:22,robot_ec2b,CHARGING,UNKNOWN
