시간,작업자,종류,대상,상세
2026-08-21 09:54:54,admin,목적지 삭제,5555,"(-0.02, -0.76, 0.0°)"
2026-08-21 09:54:43,admin,목적지 추가,5555,"(-0.02, -0.76, 0.0°)"
