시간,로봇,목적지,내용,결과,소요시간,요청
2026-08-18 15:47:51,robot_ec2b,로비,목적지 출발 → 이동 취소,취소,12초,로컬 디스플레이
2026-08-18 15:47:25,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:46:54,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,26초,로컬 디스플레이
2026-08-18 15:46:28,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-18 15:45:56,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,27초,로컬 디스플레이
2026-08-18 15:45:31,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:45:01,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,25초,로컬 디스플레이
2026-08-18 15:44:35,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-18 15:44:01,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,29초,로컬 디스플레이
2026-08-18 15:43:35,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:43:08,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,22초,로컬 디스플레이
2026-08-18 15:42:41,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-18 15:42:09,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,27초,로컬 디스플레이
2026-08-18 15:41:43,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:41:12,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,25초,로컬 디스플레이
2026-08-18 15:40:47,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:40:16,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,25초,로컬 디스플레이
2026-08-18 15:39:50,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-18 15:39:23,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,22초,로컬 디스플레이
2026-08-18 15:38:57,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:38:29,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,22초,로컬 디스플레이
2026-08-18 15:38:02,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-18 15:37:30,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,26초,로컬 디스플레이
2026-08-18 15:37:01,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,23초,로컬 디스플레이
2026-08-18 15:36:26,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,29초,로컬 디스플레이
2026-08-18 15:35:59,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-18 15:35:32,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-18 15:35:06,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-18 15:34:41,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:34:15,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:33:49,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:33:22,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:32:56,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:32:30,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-18 15:32:00,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
