시간,로봇,로봇 상태,목적지 이동 명령 상태
2026-08-18 15:48:03,robot_ec2b,LOCKED,CANCELED
2026-08-18 15:47:51,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:47:51,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:47:48,robot_ec2b,STANDBY,REACHED
2026-08-18 15:47:46,robot_ec2b,LOCKED,REACHED
2026-08-18 15:47:45,robot_ec2b,MANUAL,REACHED
2026-08-18 15:47:25,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:47:25,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:47:22,robot_ec2b,STANDBY,REACHED
2026-08-18 15:47:20,robot_ec2b,LOCKED,REACHED
2026-08-18 15:47:20,robot_ec2b,STANDBY,REACHED
2026-08-18 15:47:19,robot_ec2b,MOVING,REACHED
2026-08-18 15:46:54,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:46:54,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:46:51,robot_ec2b,STANDBY,REACHED
2026-08-18 15:46:49,robot_ec2b,LOCKED,REACHED
2026-08-18 15:46:49,robot_ec2b,MANUAL,REACHED
2026-08-18 15:46:28,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:46:26,robot_ec2b,STANDBY,REACHED
2026-08-18 15:46:23,robot_ec2b,LOCKED,REACHED
2026-08-18 15:46:23,robot_ec2b,MANUAL,REACHED
2026-08-18 15:45:56,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:45:56,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:45:53,robot_ec2b,STANDBY,REACHED
2026-08-18 15:45:51,robot_ec2b,LOCKED,REACHED
2026-08-18 15:45:51,robot_ec2b,MANUAL,REACHED
2026-08-18 15:45:31,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:45:31,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:45:28,robot_ec2b,STANDBY,REACHED
2026-08-18 15:45:26,robot_ec2b,LOCKED,REACHED
2026-08-18 15:45:25,robot_ec2b,MOVING,REACHED
2026-08-18 15:45:01,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:45:01,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:44:58,robot_ec2b,STANDBY,REACHED
2026-08-18 15:44:56,robot_ec2b,LOCKED,REACHED
2026-08-18 15:44:55,robot_ec2b,MOVING,REACHED
2026-08-18 15:44:35,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:44:35,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:44:32,robot_ec2b,STANDBY,REACHED
2026-08-18 15:44:30,robot_ec2b,LOCKED,REACHED
2026-08-18 15:44:29,robot_ec2b,MOVING,REACHED
2026-08-18 15:44:01,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:44:01,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:43:58,robot_ec2b,STANDBY,REACHED
2026-08-18 15:43:56,robot_ec2b,LOCKED,REACHED
2026-08-18 15:43:55,robot_ec2b,MANUAL,REACHED
2026-08-18 15:43:35,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:43:35,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:43:32,robot_ec2b,STANDBY,REACHED
2026-08-18 15:43:30,robot_ec2b,LOCKED,REACHED
2026-08-18 15:43:29,robot_ec2b,MOVING,REACHED
2026-08-18 15:43:08,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:43:08,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:43:05,robot_ec2b,STANDBY,REACHED
2026-08-18 15:43:03,robot_ec2b,LOCKED,REACHED
2026-08-18 15:43:02,robot_ec2b,STANDBY,REACHED
2026-08-18 15:43:02,robot_ec2b,MOVING,REACHED
2026-08-18 15:42:41,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:42:39,robot_ec2b,STANDBY,REACHED
2026-08-18 15:42:36,robot_ec2b,LOCKED,REACHED
2026-08-18 15:42:36,robot_ec2b,STANDBY,REACHED
2026-08-18 15:42:35,robot_ec2b,MOVING,REACHED
2026-08-18 15:42:09,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:42:08,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:42:06,robot_ec2b,STANDBY,REACHED
2026-08-18 15:42:03,robot_ec2b,LOCKED,REACHED
2026-08-18 15:42:03,robot_ec2b,STANDBY,REACHED
2026-08-18 15:42:02,robot_ec2b,MOVING,REACHED
2026-08-18 15:41:43,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:41:42,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:41:40,robot_ec2b,STANDBY,REACHED
2026-08-18 15:41:37,robot_ec2b,LOCKED,REACHED
2026-08-18 15:41:37,robot_ec2b,MANUAL,REACHED
2026-08-18 15:41:12,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:41:12,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:41:10,robot_ec2b,STANDBY,REACHED
2026-08-18 15:41:07,robot_ec2b,LOCKED,REACHED
2026-08-18 15:41:07,robot_ec2b,MOVING,REACHED
2026-08-18 15:40:47,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:40:46,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:40:44,robot_ec2b,STANDBY,REACHED
2026-08-18 15:40:41,robot_ec2b,LOCKED,REACHED
2026-08-18 15:40:41,robot_ec2b,STANDBY,REACHED
2026-08-18 15:40:40,robot_ec2b,MOVING,REACHED
2026-08-18 15:40:16,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:40:16,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:40:13,robot_ec2b,STANDBY,REACHED
2026-08-18 15:40:11,robot_ec2b,LOCKED,REACHED
2026-08-18 15:40:11,robot_ec2b,MANUAL,REACHED
2026-08-18 15:39:50,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:39:48,robot_ec2b,STANDBY,REACHED
2026-08-18 15:39:45,robot_ec2b,LOCKED,REACHED
2026-08-18 15:39:45,robot_ec2b,STANDBY,REACHED
2026-08-18 15:39:44,robot_ec2b,MOVING,REACHED
2026-08-18 15:39:23,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:39:21,robot_ec2b,STANDBY,REACHED
2026-08-18 15:39:18,robot_ec2b,LOCKED,REACHED
2026-08-18 15:39:17,robot_ec2b,STANDBY,REACHED
2026-08-18 15:39:17,robot_ec2b,MOVING,REACHED
2026-08-18 15:38:57,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:38:56,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:38:54,robot_ec2b,STANDBY,REACHED
2026-08-18 15:38:51,robot_ec2b,LOCKED,REACHED
2026-08-18 15:38:51,robot_ec2b,MOVING,REACHED
2026-08-18 15:38:29,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:38:28,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:38:26,robot_ec2b,STANDBY,REACHED
2026-08-18 15:38:23,robot_ec2b,LOCKED,REACHED
2026-08-18 15:38:23,robot_ec2b,MANUAL,REACHED
2026-08-18 15:38:02,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:38:01,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:37:59,robot_ec2b,STANDBY,REACHED
2026-08-18 15:37:56,robot_ec2b,LOCKED,REACHED
2026-08-18 15:37:55,robot_ec2b,STANDBY,REACHED
2026-08-18 15:37:55,robot_ec2b,MOVING,REACHED
2026-08-18 15:37:29,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:37:27,robot_ec2b,STANDBY,REACHED
2026-08-18 15:37:24,robot_ec2b,LOCKED,REACHED
2026-08-18 15:37:24,robot_ec2b,STANDBY,REACHED
2026-08-18 15:37:23,robot_ec2b,MANUAL,REACHED
2026-08-18 15:37:01,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:37:01,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:36:58,robot_ec2b,STANDBY,REACHED
2026-08-18 15:36:56,robot_ec2b,LOCKED,REACHED
2026-08-18 15:36:55,robot_ec2b,MANUAL,REACHED
2026-08-18 15:36:26,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:36:26,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:36:23,robot_ec2b,STANDBY,REACHED
2026-08-18 15:36:21,robot_ec2b,LOCKED,REACHED
2026-08-18 15:36:20,robot_ec2b,STANDBY,REACHED
2026-08-18 15:36:20,robot_ec2b,MANUAL,REACHED
2026-08-18 15:35:59,robot_ec2b,MOVING,ACTIVE
2026-08-18 15:35:59,robot_ec2b,STANDBY,ACTIVE
2026-08-18 15:35:56,robot_ec2b,STANDBY,REACHED
2026-08-18 15:35:54,robot_ec2b,LOCKED,REACHED
