Timestamp,Topic,Data
2026-08-21 10:24:05.134,version_info,"beluga:3e8d6d51c(clean); costmap_clearer:9480b38(dirty); fleet_role_manager:0d833a3(dirty); map_sync:dc572f7(dirty); mcl_pose_obstacle_layer:18fe9f6(clean); md_pkg:eb64347(dirty); mobile_robot_master_bridge:46f0112(dirty); mobile_robot_speed_tuner:b4c7396(dirty); multi_control_systam:0435860(dirty); nav2_preferred_path:22687cd(clean); polygon_keepout_layer:117166b(dirty); power_manager:2ed606a(dirty); relocalization_manager:8a728dd(dirty); robot_navigation_pkg:92defc5(dirty); robot_rest_bridge:92822d1(dirty); robot_state_checker:aa990fe(dirty); spatio_temporal_voxel_layer:92896fe(dirty); system_health_monitor:1f19d65(dirty)"
2026-08-21 10:24:07.353,battery/status,"100.000000%"
2026-08-21 10:24:07.353,robot_status,"ROBOT_STANDBY"
2026-08-21 10:24:07.354,particle_cloud,"count:800, spread:0.247446"
2026-08-21 10:24:07.354,odometry/filtered,"x:0.000000, y:0.000000, yaw:0.000000, cov_xx:0.001919, cov_yy:0.002027"
2026-08-21 10:24:07.354,safety/left_bumper,"FALSE"
2026-08-21 10:24:07.354,safety/right_bumper,"FALSE"
2026-08-21 10:24:07.354,safety/emergency_button,"FALSE"
2026-08-21 10:24:07.354,safety/suction_switch,"FALSE"
2026-08-21 10:24:07.354,rated_current_left,"0.000000"
2026-08-21 10:24:07.354,rated_current_right,"0.000000"
2026-08-21 10:24:07.455,battery/status,"100.000000%"
2026-08-21 10:24:07.455,robot_status,"ROBOT_STANDBY"
2026-08-21 10:24:07.455,particle_cloud,"count:800, spread:0.247810"
2026-08-21 10:24:07.455,odometry/filtered,"x:0.000000, y:0.000000, yaw:0.000000, cov_xx:0.001916, cov_yy:0.002024"
2026-08-21 10:24:07.455,safety/left_bumper,"FALSE"
2026-08-21 10:24:07.456,safety/right_bumper,"FALSE"
2026-08-21 10:24:07.456,safety/emergency_button,"FALSE"
2026-08-21 10:24:07.456,safety/suction_switch,"FALSE"
2026-08-21 10:24:07.456,rated_current_left,"0.000000"
2026-08-21 10:24:07.456,rated_current_right,"0.000000"
2026-08-21 10:24:07.556,battery/status,"100.000000%"
2026-08-21 10:24:07.557,robot_status,"ROBOT_STANDBY"
2026-08-21 10:24:07.557,particle_cloud,"count:800, spread:0.258833"
2026-08-21 10:24:07.557,odometry/filtered,"x:0.000000, y:0.000000, yaw:0.000000, cov_xx:0.001944, cov_yy:0.002055"
2026-08-21 10:24:07.557,safety/left_bumper,"FALSE"
2026-08-21 10:24:07.557,safety/right_bumper,"FALSE"
2026-08-21 10:24:07.557,safety/emergency_button,"FALSE"
2026-08-21 10:24:07.557,safety/suction_switch,"FALSE"
2026-08-21 10:24:07.557,rated_current_left,"0.000000"
