Timestamp,Topic,Data
2026-08-21 10:33:14.405,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001919, cov_yy:0.002027"
2026-08-21 10:33:14.405,safety/left_bumper,"FALSE"
2026-08-21 10:33:14.405,safety/right_bumper,"FALSE"
2026-08-21 10:33:14.405,safety/emergency_button,"FALSE"
2026-08-21 10:33:14.405,safety/suction_switch,"FALSE"
2026-08-21 10:33:14.405,rated_current_left,"0.000000"
2026-08-21 10:33:14.406,rated_current_right,"0.000000"
2026-08-21 10:33:14.506,battery/status,"100.000000%"
2026-08-21 10:33:14.506,particle_cloud,"count:800, spread:0.243107"
2026-08-21 10:33:14.506,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001933, cov_yy:0.002042"
2026-08-21 10:33:14.507,safety/left_bumper,"FALSE"
2026-08-21 10:33:14.507,safety/right_bumper,"FALSE"
2026-08-21 10:33:14.507,safety/emergency_button,"FALSE"
2026-08-21 10:33:14.507,safety/suction_switch,"FALSE"
2026-08-21 10:33:14.507,rated_current_left,"0.000000"
2026-08-21 10:33:14.507,rated_current_right,"0.000000"
2026-08-21 10:33:14.608,battery/status,"100.000000%"
2026-08-21 10:33:14.608,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001954, cov_yy:0.002066"
2026-08-21 10:33:14.608,safety/left_bumper,"FALSE"
2026-08-21 10:33:14.609,safety/right_bumper,"FALSE"
2026-08-21 10:33:14.609,safety/emergency_button,"FALSE"
2026-08-21 10:33:14.609,safety/suction_switch,"FALSE"
2026-08-21 10:33:14.609,rated_current_left,"0.000000"
2026-08-21 10:33:14.609,rated_current_right,"0.000000"
2026-08-21 10:33:14.709,battery/status,"100.000000%"
2026-08-21 10:33:14.709,robot_status,"ROBOT_STANDBY"
2026-08-21 10:33:14.710,particle_cloud,"count:800, spread:0.246454"
2026-08-21 10:33:14.710,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001953, cov_yy:0.002065"
2026-08-21 10:33:14.710,safety/left_bumper,"FALSE"
2026-08-21 10:33:14.710,safety/right_bumper,"FALSE"
2026-08-21 10:33:14.710,safety/emergency_button,"FALSE"
2026-08-21 10:33:14.710,safety/suction_switch,"FALSE"
2026-08-21 10:33:14.710,rated_current_left,"0.000000"
2026-08-21 10:33:14.710,rated_current_right,"0.000000"
2026-08-21 10:33:14.811,battery/status,"100.000000%"
2026-08-21 10:33:14.811,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001878, cov_yy:0.001981"
2026-08-21 10:33:14.811,safety/left_bumper,"FALSE"
2026-08-21 10:33:14.811,safety/right_bumper,"FALSE"
2026-08-21 10:33:14.811,safety/emergency_button,"FALSE"
2026-08-21 10:33:14.811,safety/suction_switch,"FALSE"
2026-08-21 10:33:14.811,rated_current_left,"0.000000"
2026-08-21 10:33:14.811,rated_current_right,"0.000000"
2026-08-21 10:33:14.912,battery/status,"100.000000%"
2026-08-21 10:33:14.912,particle_cloud,"count:800, spread:0.247306"
2026-08-21 10:33:14.912,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001930, cov_yy:0.002040"
2026-08-21 10:33:14.912,safety/left_bumper,"FALSE"
2026-08-21 10:33:14.912,safety/right_bumper,"FALSE"
2026-08-21 10:33:14.912,safety/emergency_button,"FALSE"
2026-08-21 10:33:14.912,safety/suction_switch,"FALSE"
2026-08-21 10:33:14.912,rated_current_left,"0.000000"
2026-08-21 10:33:14.912,rated_current_right,"0.000000"
2026-08-21 10:33:15.013,battery/status,"100.000000%"
2026-08-21 10:33:15.013,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001944, cov_yy:0.002055"
2026-08-21 10:33:15.013,safety/left_bumper,"FALSE"
2026-08-21 10:33:15.013,safety/right_bumper,"FALSE"
2026-08-21 10:33:15.013,safety/emergency_button,"FALSE"
2026-08-21 10:33:15.013,safety/suction_switch,"FALSE"
2026-08-21 10:33:15.013,rated_current_left,"0.000000"
2026-08-21 10:33:15.013,rated_current_right,"0.000000"
2026-08-21 10:33:15.114,battery/status,"100.000000%"
2026-08-21 10:33:15.114,particle_cloud,"count:800, spread:0.248490"
2026-08-21 10:33:15.114,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001952, cov_yy:0.002064"
2026-08-21 10:33:15.114,safety/left_bumper,"FALSE"
2026-08-21 10:33:15.114,safety/right_bumper,"FALSE"
2026-08-21 10:33:15.114,safety/emergency_button,"FALSE"
2026-08-21 10:33:15.114,safety/suction_switch,"FALSE"
2026-08-21 10:33:15.114,rated_current_left,"0.000000"
2026-08-21 10:33:15.114,rated_current_right,"0.000000"
2026-08-21 10:33:15.215,battery/status,"100.000000%"
2026-08-21 10:33:15.215,robot_status,"ROBOT_STANDBY"
2026-08-21 10:33:15.215,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001940, cov_yy:0.002051"
2026-08-21 10:33:15.215,safety/left_bumper,"FALSE"
2026-08-21 10:33:15.215,safety/right_bumper,"FALSE"
2026-08-21 10:33:15.215,safety/emergency_button,"FALSE"
2026-08-21 10:33:15.215,safety/suction_switch,"FALSE"
2026-08-21 10:33:15.215,rated_current_left,"0.000000"
2026-08-21 10:33:15.215,rated_current_right,"0.000000"
2026-08-21 10:33:15.316,battery/status,"100.000000%"
2026-08-21 10:33:15.316,particle_cloud,"count:800, spread:0.246033"
2026-08-21 10:33:15.316,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001941, cov_yy:0.002051"
2026-08-21 10:33:15.316,safety/left_bumper,"FALSE"
2026-08-21 10:33:15.316,safety/right_bumper,"FALSE"
2026-08-21 10:33:15.316,safety/emergency_button,"FALSE"
2026-08-21 10:33:15.316,safety/suction_switch,"FALSE"
2026-08-21 10:33:15.316,rated_current_left,"0.000000"
2026-08-21 10:33:15.317,rated_current_right,"0.000000"
2026-08-21 10:33:15.417,battery/status,"100.000000%"
2026-08-21 10:33:15.417,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001931, cov_yy:0.002041"
2026-08-21 10:33:15.418,safety/left_bumper,"FALSE"
2026-08-21 10:33:15.418,safety/right_bumper,"FALSE"
2026-08-21 10:33:15.418,safety/emergency_button,"FALSE"
2026-08-21 10:33:15.418,safety/suction_switch,"FALSE"
2026-08-21 10:33:15.418,rated_current_left,"0.000000"
2026-08-21 10:33:15.418,rated_current_right,"0.000000"
2026-08-21 10:33:15.518,battery/status,"100.000000%"
2026-08-21 10:33:15.518,particle_cloud,"count:800, spread:0.248349"
2026-08-21 10:33:15.519,odometry/filtered,"x:0.000004, y:-0.000000, yaw:-0.000025, cov_xx:0.001926, cov_yy:0.002036"
2026-08-21 10:33:15.519,safety/left_bumper,"FALSE"
2026-08-21 10:33:15.519,safety/right_bumper,"FALSE"
2026-08-21 10:33:15.519,safety/emergency_button,"FALSE"
2026-08-21 10:33:15.519,safety/suction_switch,"FALSE"
2026-08-21 10:33:15.519,rated_current_left,"0.000000"
2026-08-21 10:33:15.519,rated_current_right,"0.000000"
2026-08-21 10:33:15.619,battery/status,"100.000000%"
